n,p,time_direct,nb_lorenz_direct
20,2,0.09132552146911621,2
20,3,0.32708001136779785,7
20,4,0.11531758308410645,4
20,5,0.13872885704040527,3
20,6,0.29737234115600586,4
50,2,0.06722140312194824,2
50,3,0.8313312530517578,9
50,4,1.140129804611206,10
50,5,10.616943597793579,22
50,6,8.941096305847168,22
100,2,0.2615678310394287,3
100,3,8.509944200515747,19
100,4,19.005057096481323,29
100,5,1148.5299444198608,106
100,6,4128.218739032745,149
150,2,2.6528384685516357,14
150,3,10.65127158164978,16
150,4,68.35387444496155,30
150,5,,
150,6,,
200,2,17.293341636657715,29
200,3,,
200,4,,
200,5,,
200,6,,
